행정구역별(읍면동),2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023
행정구역별(읍면동),총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명)
경북상주,93722,46229,47493,92382,45672,46710,93208,46019,47189,91517,45256,46261,92990,46006,46984,90603,44824,45779
경북문경,67669,33175,34494,66733,32743,33990,67515,33131,34384,66526,32652,33874,66535,32703,33832,65264,32049,33215
경북경산,293418,147723,145695,279314,139624,139690,295543,148992,146551,280075,139995,140080,296453,150409,146044,277212,139084,138128
경남진주,353389,175897,177492,347206,172422,174784,351119,174881,176238,344750,171237,173513,348272,173389,174883,340768,168947,171821
경남통영,124829,64225,60604,120018,60346,59672,123006,63463,59543,117897,59263,58634,121626,63125,58501,115638,58109,57529
경남사천,109646,56293,53353,105591,53263,52328,109350,56209,53141,105243,53084,52159,109008,56299,52709,104425,52774,51651
경남김해,547995,280496,267499,523759,264078,259681,547313,280568,266745,521428,262898,258530,548672,282629,266043,518477,261569,256908
경남밀양,101837,49834,52003,98211,48360,49851,101574,49645,51929,97532,48037,49495,102738,50121,52617,97095,47769,49326
경남거제,242426,128937,113489,234311,123500,110811,236686,125420,111266,228887,120120,108767,238671,128439,110232,225985,118480,107505
경남양산,352610,177013,175597,344405,171980,172425,352842,177197,175645,344180,171784,172396,355411,178788,176623,345762,172519,173243
경남창원,1025702,521016,504686,1007162,510117,497045,1016751,516307,500444,997563,505016,492547,1007142,511742,495400,985272,498311,486961
제주제주,493869,247944,245925,476970,238636,238334,495281,248647,246634,477808,238732,239076,495553,248922,246631,476200,237724,238476
제주서귀포,179238,90865,88373,170927,85885,85042,181094,92018,89076,172417,86590,85827,181214,92561,88653,171743,86391,85352
